,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
(Total),29257135113,32669983204,31033736362,28397237356,30711906508,30817304191,34633552701,36556722124,42900222514,39672190230,43532288542,11704655066
Afghanistan,6684,183861,885461,1185653,767146,410610,467880,455118,892888,608449,376712,52635
Albania,238069,176609,1350528,604043,112448,29487,669101,1286924,2225002,2336109,2484963,1040402
Algeria,75479180,89078045,139768158,89680192,109183131,135920861,214193398,245632436,323450937,261348965,231720267,118990960
Andorra,0,0,0,0,0,3710,0,0,0,0,0,0
Angola,2641934,2663916,2964095,2977540,6554451,12356353,20390855,15809752,25511137,17458203,22862585,9194614
Anguilla,0,0,0,0,0,0,1700,0,0,16335,11200,0
Antarctica,0,6811,0,0,1472,1148277,18959,121286,25763,200772,352985,100920
Antarctica; British,0,0,0,0,0,0,0,0,0,0,0,0
Antarctica; Foreign,0,0,0,0,0,0,0,0,0,0,0,0
Antarctica; USA,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda,237957,661561,363519,590614,1035980,1139077,1109566,1431224,1498833,1478748,1703719,1736942
Argentina,32193660,34016830,15476267,10183082,16611632,18018128,16372738,23151818,27969521,26155156,21862072,2771219
Armenia,0,0,0,148839,4345730,8509955,11216916,12576372,13051436,16830833,26672708,7907853
Aruba,0,902519,366714,227379,173524,293092,403663,685604,1711763,910527,1466402,593798
Australia,5960378541,6180921070,6221374079,6118661280,6399927534,6588740360,7075505906,8022609471,9995316318,9131649575,10025190167,2500376721
Austria,10343723,18878533,9210894,13571685,17067102,19157299,18966726,24173919,27527877,28733065,17812232,5876820
Azerbaijan,3000,76236,172438,4397723,15400097,48171499,30626870,50150428,69609997,42847435,67046114,23777684
Bahamas,3326190,1937025,2412601,951345,2347252,1201271,21263427,1611176,2413688,1393728,1422278,625788
Bahrain,13994028,18641720,16142808,14290041,17614615,16507119,16281564,21828253,71058418,75146892,72331313,13722514
Bangladesh,16242917,23663707,26991073,19193624,27238131,18898689,26170472,37555860,40469212,70897100,86782722,41335461
Barbados,19202865,20473320,22171152,19556923,19845294,18326974,18312815,21108899,33599987,23572620,29169254,6750636
Belarus,9792,26227,54343,180040,599394,762572,321995,852353,1245952,630651,543983,250370
Belgium,469621810,546514873,626383803,631602867,519457556,515083789,627086102,538399811,506837771,489808835,360046395,92743933
Belize,274902,481847,401857,219850,219446,205052,616042,595496,491780,447627,726637,156062
Benin,172942,4761,821313,2551937,4068597,5284714,2187265,1003674,2338139,1223374,876679,609372
Bermuda,3702116,4602041,4536599,3397458,4144932,4897471,4724748,3898540,5309900,5042612,4986125,1712981
Bhutan,0,7345,20803,2380,0,50857,2282,92575,71988,89047,84235,13343
Bolivia,823242,282381,2097310,186646,667789,1221932,2456427,3175392,2255837,1469666,775264,333156
Bosnia-Herzegovina,106541,299619,78733,182885,11331,1721,0,5329,1281675,786098,710681,0
Botswana,101636,35764,43905,12009,46677,16955,33256,209040,144242,166420,103908,21834
Brazil,75282528,73733490,77494181,33037941,33775137,87677172,114848615,42708101,89840053,64756528,53924370,12823002
British Indian Ocean Territory,0,0,0,0,0,0,173757,0,0,0,0,0
Brunei Darussalam,3256523,3146485,3331288,2541149,3554976,3287943,99543313,2975567,3860583,4242310,3618759,464828
Bulgaria,1510484,470301,443101,731673,1503083,5183655,7690733,4206578,6311380,7360133,3623984,1097493
Burkina Faso,0,0,1500,19293,11079,11501,517739,80813,38620,58835,571251,68605
Burma,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,0,54058,3982,67484,174777,1006054,70343,46370,19495,12353,183093,10227
Cambodia,1870853,3148186,750710,723702,753904,1846834,947467,1761273,3743870,3605827,5379025,1057505
Cameroon,585838,75828,787295,195911,305707,3266776,3991475,6043561,8688811,7490537,7821108,5313123
Canada,439602542,631433611,648466791,547696456,521042695,523617118,553340400,537472507,511442361,501117913,497132065,143986474
Cape Verde,0,0,0,2093,30774,10149,46017,2242,616596,2370,0,0
Cayman Islands,230630,142325,33711764,18383486,16555534,33543878,20482359,755116,879851,22886606,640589,92902
Central African Republic,105697,0,0,0,0,0,0,31190,27523,0,0,0
Chad,0,0,0,193080,4098,2825,0,0,139703,112579,208620,0
Channel Islands,0,0,0,0,0,0,0,0,0,0,0,0
Chile,76709928,50017557,33481379,31400149,52448236,52907633,57492647,53598119,89412621,57708069,60535060,14823110
